,lat 0,lon 1,time 2,agb 3,pft_fracCover 4,sm 5,pftCrop 6,pftHerb 7,pftShrubBD 8,pftShrubNE 9,pftTreeBD 10,pftTreeBE 11,pftTreeND 12,pftTreeNE 13,GDP 14,ign 15,Distance_to_populated_areas 16,fPAR 17,LAI 18,NLDI 19,vod_K_anomalies 20,FPAR_12mon 21,LAI_12mon 22,Vod_k_anomaly_12mon 23,FPAR_06mon 24,LAI_06mon 25,Vod_k_anomaly_06mon 26,WDPA_fracCover 27,dtr 28,pet 29,tmx 30,wet 31,Biome 32,precip 33,Livestock 34,road_density 35,topo 36,pop_density 37
LAI_12mon 22,-0.37892180789629776,-0.046877061971231315,0.024707322448980246,0.43457500836435853,0.4813574266605026,0.06798667663446627,0.10793576687186304,-0.08006108603322701,0.091499007663724,0.014251030994830398,0.1898830031245072,0.6596145540448252,-0.06851636622906458,0.0009059516241654247,-0.2114285712776785,0.07030927525967355,-0.25653208758608265,0.8746702239316579,0.9841026211054101,0.01440221839736792,-0.07552721486167405,0.9313351875218516,1.0,-0.029202262104961865,0.9313351875218515,1.0,-0.029202262104961865,0.07015773067869334,-0.07382244628050919,0.21373677006309472,0.4790589277985977,0.3865456522136245,-0.2609786587392906,0.5605770858027193,0.13091826701235396,0.0724684299138546,-0.0044226713139109645,0.036491553413181874
Vod_k_anomaly_12mon 23,0.01507644897665,0.042089732864030144,-0.027558319806954376,-0.04275354462731152,-0.013346728722872889,0.04007675727304103,0.021111243386901034,0.03422276796359498,0.023328316044752755,-0.005431040874753827,-0.0007451621331179035,-0.07701040803440863,-0.004891398299475945,-0.006677087360125774,0.012121724122173725,-0.007034599010043669,0.00466523093889763,0.003640474637971045,-0.03225576842721821,-0.015212399204553235,0.7736876323112976,0.008399935771595417,-0.029202262104961865,1.0,0.008399935771595417,-0.029202262104961837,1.0,-0.015345879642838003,0.0515542235583659,0.015371261925467505,0.005328295871787226,-0.07277071176936876,0.0038831003386036764,-0.07200993464277938,0.03897153599346183,0.003399322117063695,0.007622054256316233,0.016181327170892282
FPAR_06mon 24,-0.39386057271544617,-0.02211614294866506,0.031911978490766,0.3043479619013261,0.5255572124725659,0.16816817934868356,0.19991004356330422,0.00045366576362337435,0.1517826119805177,0.09234562962700155,0.22424825698130268,0.47344198360347367,-0.062472646795729815,0.031366025858556544,-0.19072890543172988,0.09871068196573098,-0.3001240774578506,0.9183945711740515,0.9014324907809357,-0.021324201240225427,-0.0596434019070359,1.0,0.9313351875218515,0.008399935771595417,1.0,0.9313351875218516,0.008399935771595417,0.021468663882106557,-0.013799614713313995,0.27421369151935315,0.5448590985120189,0.3302559493654795,-0.28404271405614256,0.4916763008665742,0.1998950702385637,0.11812826003632146,0.010629482486694578,0.05966985122883607
LAI_06mon 25,-0.37892180789629776,-0.046877061971231315,0.024707322448980246,0.43457500836435853,0.4813574266605026,0.06798667663446627,0.10793576687186304,-0.08006108603322701,0.091499007663724,0.014251030994830398,0.1898830031245072,0.6596145540448252,-0.06851636622906458,0.0009059516241654247,-0.2114285712776785,0.07030927525967355,-0.25653208758608265,0.8746702239316579,0.9841026211054101,0.01440221839736792,-0.07552721486167405,0.9313351875218516,1.0,-0.029202262104961837,0.9313351875218516,1.0,-0.029202262104961865,0.07015773067869334,-0.07382244628050919,0.21373677006309472,0.4790589277985977,0.3865456522136245,-0.2609786587392906,0.5605770858027193,0.13091826701235396,0.0724684299138546,-0.0044226713139109645,0.036491553413181874
Vod_k_anomaly_06mon 26,0.01507644897665,0.042089732864030144,-0.027558319806954376,-0.04275354462731152,-0.013346728722872889,0.04007675727304103,0.021111243386901034,0.03422276796359498,0.023328316044752755,-0.005431040874753827,-0.0007451621331179035,-0.07701040803440863,-0.004891398299475945,-0.006677087360125774,0.012121724122173725,-0.007034599010043669,0.00466523093889763,0.003640474637971045,-0.03225576842721821,-0.015212399204553235,0.7736876323112976,0.008399935771595417,-0.029202262104961865,1.0,0.008399935771595417,-0.029202262104961865,1.0,-0.015345879642838003,0.0515542235583659,0.015371261925467505,0.005328295871787226,-0.07277071176936876,0.0038831003386036764,-0.07200993464277938,0.03897153599346183,0.003399322117063695,0.007622054256316233,0.016181327170892282
WDPA_fracCover 27,0.00943524367919091,-0.10574070422036896,-2.2706636965680394e-12,0.10466287102969798,-0.09096968596577154,-0.17102503782442202,-0.14973792512599268,-0.09635388854553806,0.0071284656470833475,-0.03281889457506831,-0.022096698722780767,0.15612583990092557,-0.04665895724248964,-0.027182807636425076,0.016747460454025562,-0.0007348409614406185,0.24874209407889036,0.014000101467616724,0.06986590677275091,0.037135070328706804,-0.024618782514379885,0.021468663882106557,0.07015773067869334,-0.015345879642838003,0.021468663882106557,0.07015773067869334,-0.015345879642838003,1.0,0.07753397188971689,-0.0734047587771782,-0.06162305739043176,0.07276094789520131,0.17795853584676344,0.05483196398995892,-0.09134851234742461,-0.03956949385927891,-0.023153745516747534,-0.033711432729537985
dtr 28,-0.24925240732862752,0.008839106988148404,0.005215680183927909,-0.08117181514451009,-0.1319183443721907,-0.23562300634576716,-0.022306921010919013,-0.023479070621602424,0.0562099057268696,-0.03677280813711068,-0.056522373082527354,-0.10650452201662636,-0.029667094224228256,-0.115241427037457,-0.2265732717903674,0.08698280151473235,0.23489194806047972,-0.09347875829563257,-0.10854025363240191,0.1653798607406413,0.00033349001827862724,-0.013799614713313995,-0.07382244628050919,0.0515542235583659,-0.013799614713313995,-0.07382244628050919,0.0515542235583659,0.07753397188971689,1.0,0.4856253537444376,0.3313964264953298,-0.47371082023041855,0.20302405962583003,-0.25792828088994835,0.02733045182173534,-0.046236059147469664,0.15111980764400243,-0.027670828733720267
pet 29,-0.5373652892523849,0.08538591993224573,0.027744817674808377,0.07305165156886897,-0.08917918893368358,-0.18479680081640285,0.10891638077001074,-0.11340254901016891,0.014569357858739394,-0.12353752475627823,-0.04251299475587942,0.054864350312771704,-0.20898535475779884,-0.22409675596838907,-0.2771852659984555,0.08481242814707088,-0.11864315807043792,0.1577643647663774,0.1679640456888464,0.04723425585282627,-0.05574396330512772,0.27421369151935315,0.21373677006309472,0.015371261925467505,0.27421369151935315,0.21373677006309472,0.015371261925467505,-0.0734047587771782,0.4856253537444376,1.0,0.8520718064750882,-0.33957365894361263,-0.15381896815849594,0.017922071673418718,0.14054266277730623,0.04203096840240755,0.04258624498277808,0.03016005895487344
tmx 30,-0.6631127935608806,0.03165711880209335,0.036764974488412254,0.21554895191312312,0.136864684742338,-0.06154820543442686,0.20951865975739006,-0.12567445420647477,0.056758436518427796,-0.07999606030886676,0.05853074026257321,0.25201605509871206,-0.2717480404631932,-0.18143266902652166,-0.3688754923428789,0.13155279382163915,-0.2527732136116958,0.4686046228321435,0.4508336230311597,0.02359624306495042,-0.05917385495482761,0.5448590985120189,0.4790589277985977,0.005328295871787226,0.5448590985120189,0.4790589277985977,0.005328295871787226,-0.06162305739043176,0.3313964264953298,0.8520718064750882,1.0,-0.11993030382496878,-0.2803685328189222,0.25055712700269483,0.22849178414029828,0.0932895917215123,0.024519032487587796,0.06175271475020401
wet 31,0.13164058346040472,-0.01046244839888271,0.004304291385394238,0.18023007355764023,0.33557625740595554,0.2611988931500669,0.01522400514367641,0.03663814342822465,0.062160095777175024,0.13581708527916067,0.12095842130670076,0.29459755027194334,0.06410692449907747,0.17723779747843263,0.12381831743235237,-0.09940108286173902,-0.055779632264383226,0.38282348270018673,0.413235838615449,-0.01235740979379674,-0.035768660682456134,0.3302559493654795,0.3865456522136245,-0.07277071176936876,0.3302559493654795,0.3865456522136245,-0.07277071176936876,0.07276094789520131,-0.47371082023041855,-0.33957365894361263,-0.11993030382496878,1.0,-0.028866031682757178,0.6013613073830522,-0.017248548156392502,0.0351500807258823,-0.006354887353092383,0.0033858556489916726
